Kategoria;treść;poziom;dobra_odpowiedź;odp2;odp3;odp4
Liczby Naturalne;Wybierz opcję zawierającą tylko liczby pierwsze:;1;71, 2, 3;17, 29, 63;79, 37, 77;1, 2, 3
Liczby Naturalne;Zaznacz opcję zawierającą tylko dzielniki liczby \(210\):;2;3, 5, 7;3, 4, 10;60, 105, 210;1, 2, 4
Liczby Naturalne;Ile dzielników ma każda liczba pierwsza?;1;2;1;3;0
Liczby Naturalne;Ile wynosi NWW liczb \(36\) i \(24\)?;3;72;144;12;60
Liczby Naturalne;Ile wynosi NWD liczb \(222\) i 259?;3;37;3;39;6
Liczby Naturalne;Podaj resztę z dzielenia liczby 245 przez 34.;2;7;5;6;8
Liczby Naturalne;Jaką liczbę należy wstawić pod \(x\) w liczbie \(4x9\), żeby była ona podzielna przez 3?;2;2 lub 5 lub 8;0 lub 3 lub 6;1 lub 4 lub 7;Ta liczba jest niepodzielna przez 3 niezależnie od wartości \(x\)
Liczby Naturalne;Jaką liczbę należy wstawić pod \(x\) w liczbie \(xx50\), żeby była ona podzielna przez 4?;2;Ta liczba nie jest podzielna przez 4 niezależnie od wartości \(x\);4 lub 8;2 lub 6;dowolną
Liczby Naturalne;Wynik dzielenia liczby \(1287\) przez którą liczbę będzie liczbą naturalną?;2;39;7;87;6
Liczby Naturalne;Ile różnych czynników pierwszych ma liczba \(27720\)?;4;5;8;6;7
Liczby Naturalne;Wypisano wszystkie liczby naturalne większe od \(20\), ale mniejsze od \(50\). Wskaż zdanie fałszywe:;4;Wśród nich jest 8 liczb pierwszych;10 z nich jest podzielnych przez 3;5 z nich jest podzielnych przez 7;cyfra 3 występuje w nich łącznie 13 razy
Liczby Naturalne;Suma trzech kolejnych liczb naturalnych jest liczbą parzystą. Zaznacz zdanie prawdziwe.;5;Największa z tych liczb jest liczbą nieparzystą;Co najmniej jedna z tych liczb jest podzielna przez 4;Wszystkie z tych liczb mogą być liczbami pierwszymi;Najmniejsza z tych liczb na pewno jest dzielnikiem ich sumy
